"题号","题干","A","B","C","D","E","答案","难度","题型"
"705","以人为本的""人""，是指人民群众，就是包括（  ）。","工人","农民","知识分子","其他社会各阶层人民","","ABCD","无","多选题"
"706","坚持以人为本，要自觉坚持党的群众路线，牢固树立（  ）和对党负责和对人民负责相一致的观点。","人民群众是历史创造者的观点","虚心向人民群众学习的观点","竭诚为最广大人民谋利益的观点","干部的权力是人民赋予的观点","","ABCD","无","多选题"
"707","坚持以人为本，就要（  ）。","坚持发展依靠人民，从人民群众的伟大创造中汲取智慧和力量","坚持发展为了人民，始终把最广大人民的根本利益放在第一位","坚持发展成果由人民共享，着力提高人民物质文化生活水平","坚持立党为公、执政为民，始终把最广大人民的根本利益作为我们一切工作的出发点和落脚点","","ABCD","无","多选题"
"708","坚持以人为本，要做到切实转变思想作风和工作作风，切实改进领导方式和工作方法，深入了解民情、充分反映民意、广泛集中民智，做到（  ）。","问政于民","问需于民","问计于民","问责于民","","ABC","无","多选题"
"709","要坚定不移走中国特色社会主义文化发展道路，坚持（  ），推动社会主义精神文明和物质文明全面发展，建设面向现代化、面向世界、面向未来的，民族的科学的大众的社会主义文化。","党对文化发展的决定性作用","为人民服务、为社会主义服务的方向","百花齐放、百家争鸣的方针","贴近实际、贴近生活、贴近群众的原则","","BCD","无","多选题"
"710","下列关于中国特色社会主义事业的总体布局的表述正确的有（  ）。","政治建设是方向和保障","文化建设是灵魂和血脉","经济建设是中心和基础","生态文明建设是根基和条件","","ABCD","无","多选题"
"711","20世纪70年代末，中国在改革的同时开始实行对外开放，并逐步把它作为一项长期坚持的基本国策。在推进全面深化改革中必须坚持扩大开放，这是因为（ ）。","越开放越发展，越发展越开放是世界历史的发展规律","一个国家要发展繁荣，必须把握和顺应全球经济的开放大势","中国的发展离不开世界，世界的繁荣也需要中国","对外开放是融入世界、促进自身快速发展的权宜之计","","ABC","无","多选题"
"712","全国各族人民是建设中国特色社会主义事业的主体，人民群众的（   ）的充分发挥是我们事业成功的保证。","积极性","主动性","创造性","领导性","","ABC","无","多选题"
"713","自主创新是（  ）。","科技发展的灵魂","一个民族发展的不竭动力","提升综合国力的决定力量","支撑国家崛起的筋骨","","ABD","无","多选题"
"714","科学发展观强调，推动城乡发展一体化，要坚持工业反哺农业、城市支持农村和多予少取放活方针，坚持走中国特色农业现代化道路，深入推进社会主义新农村建设，加快完善城乡发展一体化体制机制，形成（  ）的新型工农、城乡关系。","以工促农","以城带乡","工农互惠","城乡一体","","ABCD","无","多选题"
"715","坚持中国特色社会主义政治发展道路，最根本的是要坚持（  ）有机统一。","党的领导","改革开放","人民当家作主","依法治国","","ACD","无","多选题"
"716","人民代表大会制度、（  ），集中体现了我国社会主义民主政治的特点和优势，必须始终不渝地坚持、发展和完善。","按劳分配为主体的分配制度","中国共产党领导的多党合作和政治协商制度","民族区域自治制度","基层群众自治制度","","BCD","无","多选题"
"717","社会主义协商民主是中国共产党和中国人民在社会主义民主形式方面的伟大创造，是对马克思主义民主理论的丰富和发展，充分体现了社会主义民主的（  ）。","全民性","真实性","广泛性","包容性","","BCD","无","多选题"
"718","选举民主与协商民主相结合，是中国社会主义民主的一大特点，拓展了社会主义民主的深度和广度。要不断完善协商民主制度和工作机制，推进协商民主（  ）发展。","广泛","多层","制度化","一体化","","ABC","无","多选题"
"719","依法治国从（  ）保证人民当家作主，保证党的执政地位。","制度上","法律上","组织上","思想上","","AB","无","多选题"
"720","依法治国，关键是（  ）。","依法执政","依法行政","依法办事","公正司法","","ABCD","无","多选题"
"721","统一战线是凝聚各方面力量，促进（  ）和海内外同胞关系的和谐，夺取中国特色社会主义新胜利的重要法宝。","政党关系","民族关系","宗教关系","阶层关系","","ABCD","无","多选题"
"722","巩固和发展最广泛的爱国统一战线，要坚持充分尊重、广泛联系、（  ）的方针，鼓励和引导新的社会阶层人士为中国特色社会主义事业作出更大贡献。","统一领导","加强团结","热情帮助","积极引导","","BCD","无","多选题"
"723","坚持以人为本，要坚持发展成果由人民共享，就要把改革发展取得的各方面成果，体现在（  ）。","不断提升国家实力上","不断提高人民的生活质量和健康水平上","不断提高人民的思想道德素质和科学文化素质上","充分保证人民享有的经济、政治、文化、社会、生态等各方面权益上","","BCD","无","多选题"
"724","胡锦涛指出：我们清醒认识到，中国虽然取得了经济社会发展的巨大成就，但仍然是世界上最大的发展中国家，（    ）的基本国情没有改变，经济社会发展面临诸多突出矛盾和挑战。","人口多","底子薄","物产富饶","发展不平衡","","ABD","无","多选题"
"725","1992年，邓小平在南方谈话中对社会主义本质作了总结性理论概括：""社会主义的本质，是解放生产力，发展生产力，消灭剥削，消除两极分化，最终达到共同富裕。""这一论断的意义在于（ ）。","把对社会主义的认识提高到新的科学水平","廓清了不合乎时代进步和社会发展规律的模糊观念","摆脱了长期以来拘泥于具体模式而忽略社会主义本质的错误倾向","反映了人民的利益和时代的要求","","ABCD","无","多选题"
"726","20世纪80年代末90年代初，国际共产主义运动遭受重大挫折。中国共产党面临长期而又严峻的国际压力，（    ）的斗争将长期存在，并且异常尖锐、复杂。","渗透与反渗透","遏制与反遏制","分裂与反分裂","颠覆与反颠覆","","ABCD","无","多选题"
"727","20世纪80年代末90年代初，科技进步日新月异，以（    ）的综合国力竞争空前激烈。","改革为重点","经济为基础","科技为先导","创新为关键","","BC","无","多选题"
"728","在对冷战结束后国际局势进行科学判断的基础上，以江泽民同志为主要代表的中国共产党人明确提出了（    ）等重大论断，为我国迎头赶上时代潮流，在日益激烈的国际竞争中始终立于不败之地，实现社会生产力的跨越式发展奠定了思想基础。","和平与发展仍然是当今时代主题","科学技术已经成为先进生产力的集中体现和主要标志","社会主义仍然代表人类未来发展方向","应当把发展问题提到全人类的高度来认识","","ABC","无","多选题"
"729","进入21世纪，世界处在大发展大变革大调整之中。由于单纯追求经济增长，或者照搬别国发展模式，一些国家发展遇到了（    ）等问题。","经济结构失衡","政治动荡","能源资源紧张","生态环境恶化","","ABCD","无","多选题"
"730","2008年国际金融危机的爆发，充分暴露了资本主义制度的固有矛盾，暴露了世界经济增长模式的弊端。推动（    ）增长成为各国共同关注的重大问题。","螺旋式","强劲","可持续","平衡","","BCD","无","多选题"
"731","我国在社会主义建设初期走了不少弯路、犯了不少错误，其深层原因是（    ）。","经济上急于求成、盲目求纯和急于过渡","在政治上坚持以阶级斗争为纲","偏离了党的实事求是的思想路线","对什么是社会主义和如何建设社会主义的问题没有完全搞清楚","","CD","无","多选题"
"732","党的十八大以来，（    ）正以前所未有的方式展开，世界百年未有之大变局加速演进。","世界之变","时代之变","历史之变","人类之变","","ABC","无","多选题"
"733","当代中国正在经历人类历史上最为宏大而独特的实践创新，（    ）都前所未有，提出了大量亟待回答的理论和实践课题。","改革发展稳定任务之重","矛盾风险挑战之多","治国理政考验之大","世界百年未有之大变局深刻变化","","ABCD","无","多选题"
"734","20世纪80年代末90年代初，正值我们党的队伍进入整体性交接的关键时刻。（    ），是我们党必须解决好的历史性课题。","进一步提高党的领导水平和执政水平","进一步推进全面从严治党","提高自我革命意识","提高拒腐防变和抵御风险的能力","","AD","无","多选题"
"735","20世纪70年代，和平与发展成为时代主题，以改革（    ），逐渐成为世界各国人民的普遍愿望。","求和平","谋发展","促统一","促合作","","ABD","无","多选题"
"736","新世纪新阶段，我国进入（    ），经济社会发展呈现一系列新的阶段性特征。","发展关键期","改革攻坚期","开放活跃期","矛盾凸显期","","ABD","无","多选题"
"737","20世纪50年代中期至60年代中期，毛泽东提出两个""中间地带""战略思想。第一个""中间地带""包括（    ）。","大洋洲","亚洲","非洲","拉丁美洲","","BCD","无","多选题"
"738","中国特色社会主义新时代是承前启后、继往开来、在新的历史条件下继续夺取中国特色社会主义伟大胜利的时代，（    ）。","是决胜全面建成小康社会、进而全面建设社会主义现代化国家的时代","是全国各族人民团结奋斗、不断创造美好生活、逐步实现全体人民共同富裕的时代","是全体中华儿女勠力同心、奋力实现中华民族伟大复兴中国梦的时代","是我国不断为人类作出更大贡献的时代","","ABCD","无","多选题"
"739","中国特色社会主义进入新时代，意味着中国特色社会主义（    ）不断发展，拓展了发展中国家走向现代化的途径，给世界上那些既希望加快发展又希望保持自身独立性的国家和民族提供了全新选择，为解决人类问题贡献了中国智慧和中国方案。","道路","理论","制度","文化","","ABCD","无","多选题"
"740","以邓小平同志为主要代表的中国共产党人以巨大的政治勇气和理论勇气，（    ），吹响""走自己的路、建设有中国特色的社会主义""的时代号角。","重新确立实事求是的思想路线","科学评价毛泽东和毛泽东思想","彻底否定""以阶级斗争为纲""的错误理论和实践","作出把党和国家工作中心转移到经济建设上来、实行改革开放的历史性决策","","ABCD","无","多选题"
"741","以习近平同志为核心的党中央以伟大的历史主动精神、巨大的政治勇气、强烈的责任担当，统筹国内国际两个大局，统揽（    ），创立习近平新时代中国特色社会主义思想，明确坚持和发展中国特色社会主义的基本方略，提出一系列治国理政新理念新思想新战略，实现了马克思主义中国化时代化新的飞跃。","伟大斗争","伟大工程","伟大事业","伟大梦想","","ABCD","无","多选题"
"742","2002年5月，江泽民在中共中央党校省部级干部进修班毕业典礼上深刻阐述了 ""三个代表""重要思想的内在联系，提出""贯彻'三个代表'重要思想，（    ）""。","目标在坚持党的宗旨","关键在坚持与时俱进","核心在坚持党的先进性","本质在坚持执政为民","","BCD","无","多选题"
"743","随着改革开放和社会主义市场经济的发展，我国社会生活发生了广泛而深刻的变化，（    ）、利益关系和分配方式日益多样化。","社会经济成分","基本国情","组织形式","就业方式","","ACD","无","多选题"
"744","党的十三届四中全会以后，我们党在建设中国特色社会主义的伟大实践基础上，科学回答了党如何正确处理社会主义现代化建设中的若干重大关系，（    ）等一系列紧迫而重大的问题，进一步推进了改革开放和社会主义现代化建设事业。","如何完善社会主义市场经济体制","如何推进政治体制改革","如何解决经济发展与资源、环境的矛盾","如何保持国民经济的可持续发展","","ABCD","无","多选题"
"745","从党的十三届四中全会到党的十六大的13年中，在国际国内十分复杂的形势下，江泽民同志提出抓住机遇、（    ）的基本方针，领导我们制定和实施了促进改革发展稳定的一系列方针政策和重大战略。","深化改革","扩大开放","促进发展","保持稳定","","ABCD","无","多选题"
"746","江泽民同志是全党全军全国各族人民公认的享有崇高威望的卓越领导人，伟大的马克思主义者，伟大的无产阶级（    ），久经考验的共产主义战士，中国特色社会主义伟大事业的杰出领导者，党的第三代中央领导集体的核心，""三个代表""重要思想的主要创立者。","革命家","政治家","军事家","外交家","","ABCD","无","多选题"
"747","党的十六大以后，中国特色社会主义事业进入发展的关键期。以下关于这一时期的表述正确的是（    ）。","深入推进西部大开发，振兴东北地区等老工业基地，促进中部地区崛起，支持东部地区率先发展，促进区域协调发展","推进国有企业改革和发展，鼓励和支持发展非公有制经济，加快转变经济发展方式","推进以改善民生为重点的社会建设","妥善处理和应对海湾战争、亚洲金融危机、阿富汗战争等一系列重大事件","","ABC","无","多选题"
"748","以习近平同志为核心的党中央统筹把握（    ），坚持把马克思主义基本原理同中国具体实际相结合、同中华优秀传统文化相结合，创立了习近平新时代中国特色社会主义思想。","经济社会发展方向","中华民族伟大复兴战略全局","中国特色社会主义的前进方向","世界百年未有之大变局","","BD","无","多选题"
"749","以江泽民同志为主要代表的中国共产党人科学判断党的历史方位、深刻总结历史经验，旗帜鲜明地强调要坚定不移、毫不动摇地全面执行党的十一届三中全会以来的路线和基本政策，对在新的历史条件下（    ）等问题进行了长期思考和探索，提出了一系列创新性观点，丰富和发展了党的理论路线方针政策。","发展人类命运共同体","不断加强党的建设","巩固党的执政地位和坚持党的基本路线","加快社会主义现代化建设","","BCD","无","多选题"
"750","毛泽东强调要走一条有别于苏联的中国工业化道路，其内容包括：走中国工业化道路必须（　　）。","坚持对外开放政策","采取正确的经济建设方针","调整和完善所有制结构","积极探索适合我国情况的经济体制和运行机制","","BCD","无","多选题"
"751","以毛泽东同志为核心的党的第一代中央领导集体在探索过程中，虽然经历了严重曲折，但党在社会主义建设中取得的独创性理论成果和巨大成就，为新的历史时期开创中国特色社会主义提供了（　  ）。","物质基础","宝贵经验","改革目标","理论准备","","ABD","无","多选题"
"752","毛泽东在《论十大关系》中，前三条讲（　　）。这实际上是在论述如何开辟一条和苏联有所不同的中国工业化道路问题。","沿海工业和内地工业的关系","重工业和轻工业、农业的关系","经济建设和国防建设的关系","私营企业、合资企业和生产者个人的关系","","ABC","无","多选题"
"753","党领导人民探索社会主义建设道路所面对的严峻复杂的国内外形势有（　　）。","以美国为首的西方国家对中国采取敌视政策，并进行封锁和遏制，企图颠覆社会主义制度","我国社会主义建设的任务艰巨繁重","我国人口多、底子薄","我国经济文化比较落后","","ABCD","无","多选题"
"754","走中国工业化道路，积极探索适合我国情况的经济体制和运行机制的正确思想有（　　）。","陈云提出了要建立""适合于我国情况和人民需要的社会主义的市场"" 的思想","毛泽东主张企业要建立合理的规章制度和严格的责任制，要实行民主管理，实行""两参一改三结合""","刘少奇提出了使社会主义经济既有计划性又有多样性和灵活性的主张，以及按经济办法管理经济的思想","毛泽东提出了发展商品生产、利用价值规律的思想，要有计划地大力发展社会主义商品生产","","ABCD","无","多选题"
"755","关于正确处理人民内部矛盾的方针，用民主的方法解决人民内部矛盾，这是一个总方针。毛泽东提出的一系列具体方针、原则，下列属于这些方针、原则的有（　　）。","对于共产党和民主党派之间的矛盾，实行""长期共存、互相监督、肝胆相照、荣辱与共""的方针","政治思想领域的人民内部矛盾，实行""团结-批评-团结""的方针，坚持说服教育、讨论的方法","对于物质利益、分配方面的人民内部矛盾，实行统筹兼顾、适当安排的方针，兼顾国家、集体和个人三方面的利益","对于人民群众和政府机关的矛盾，要坚持民主集中制原则，克服政府机关的官僚主义，也要加强对群众的思想教育","","BCD","无","多选题"
"756","毛泽东提出""三个世界""划分的理论，以下不属于第三世界的是（    ）。","亚洲的发展中国家","苏联","美国","东欧国家","","BCD","无","多选题"
"757","毛泽东提出：""我们历来就主张，在人民民主专政下面，解决敌我之间的和人民内部的这两类不同性质的矛盾，采用专政和民主这样两种不同的方法。""所谓民主方法，就是（ 　）。","讨论的方法","批评的方法","说服教育的方法","剥夺政治权利的方法","","ABC","无","多选题"
"758","下列关于党在二十世纪五六十年代探索社会主义的发展阶段的说法中正确的是（   ）。","走中国工业化道路的思想","我国还处于并将长期处于社会主义初级阶段的思想","调动一切积极因素为社会主义事业服务的思想","正确认识和处理社会主义社会矛盾的思想","","ACD","无","多选题"
"759","新中国成立后，毛泽东曾多次指出(    )。","同一些资本主义国家发展经济贸易关系","要在平等的基础上开展同一切国家的经济技术交流","坚决不同资本主义国家发展经济贸易关系","要学习一切国家和民族的长处","","ABD","无","多选题"
"760","以下关于《论十大关系》的论述中，正确的有（    ）。","《论十大关系》确定了一个基本方针，就是""调动国内外一切积极因素，为社会主义建设服务""","《论十大关系》涉及生产力和生产关系、经济基础和上层建筑各个方面","《论十大关系》前五条主要讨论政治问题，后五条主要讨论经济问题","《论十大关系》标志着党探索中国社会主义建设道路的良好开端","","ABD","无","多选题"
"761","经济全球化是当今世界的（    ）等共同作用的结果，是历史发展不可阻挡的大趋势。","生产力","资本主义制度","世界市场","科学技术","","ACD","无","多选题"
"762","在社会主义建设道路初步探索时期，调动一切积极因素为社会主义事业服务，（　 　）。","必须发展社会主义民主政治","必须坚持中国共产党的领导","是党关于社会主义建设的一条极为重要的方针","对于最大限度地团结全国各族人民，为建设社会主义现代化国家而奋斗，具有长远的指导意义","","ABCD","无","多选题"
"763","习近平新时代中国特色社会主义思想是（    ）。","创新的马克思主义","当代中国马克思主义","21世纪马克思主义","民族的马克思主义","","BC","无","多选题"
"764","促使毛泽东和党的其他领导人思考如何走中国工业化道路的问题的原因有（　　）。","新中国刚刚建立的时候，我国的工业基础非常薄弱，很多工业领域甚至还是空白","新中国成立初期，党把实现国家工业化确定为新中国整个经济建设的主要任务","受苏联的影响，我国一度过多强调重工业和基础设施的发展，影响了农业和轻工业的发展，造成一定程度的比例失调","世界多极化格局已经形成","","ABC","无","多选题"
"765","社会主义社会存在着两类不同性质的矛盾，对于认识和处理人民内部矛盾表述正确的是（　　）。","一般情况下，人民内部矛盾不是对抗性的，但如果处理不当，也可能发生对抗","在我国，由于民族资产阶级有两面性，工人阶级同民族资产阶级的矛盾属于人民内部的矛盾","人民内部矛盾是在人民利益根本一致的基础上的矛盾，因而是非对抗性的矛盾","用民主的方法解决人民内部的矛盾，这是一个总方针","","ABCD","无","多选题"
"766","在全面建设社会主义时期，我国建立起独立的比较完整的工业体系和国民经济体系，这一时期的重大成就包括（    ）。","我国建立起独立的比较完整的工业体系和国民经济体系","农业生产条件显著改变","""两弹一星""等国防尖端科技不断取得突破","教育、科学、文化、卫生、体育事业有很大发展","","ABCD","无","多选题"
"767","1964年底,周恩来在三届全国人大一次会议上提出了实现""四个现代化""的历史任务,下列有关""四个现代化""，表述正确的是（    ）。","是中国共产党领导全国人民对社会主义建设道路进行长期探索所取得的重大成果","极大鼓舞了依靠自力更生、艰苦奋斗克服困难的中国人民","成为中国人民前赴后继、接续奋斗的不竭动力","是指导国家一切建设的根本指针","","ABC","无","多选题"
"768","在社会主义初步探索阶段，毛泽东就执政党建设问题提出了一系列独创性的思想，包括（   ）等。","党必须坚持马克思主义的指导并使马克思主义中国化时代化","党的建设要密切联系党的政治路线","必须坚持民主集中制的组织原则","必须坚持理论联系实际、密切联系群众、批评和自我批评","","ABCD","无","多选题"
"769","""十大关系""第（   ）条讲国家、生产单位和生产者个人的关系，中央和地方的关系，开始涉及经济体制改革。","二","三","四","五","","CD","无","多选题"
"770","党的八大正确分析了社会主义改造完成后我国社会主要矛盾的变化，据此，党中央要求各级党委要抓社会主义建设工作，全党要（   ）。","学科学","学技术","学新本领","学管理","","ABC","无","多选题"
"771","党的十九届六中全会指出，社会主义革命和建设时期，党面临的主要任务是，实现从新民主主义到社会主义的转变，进行社会主义革命，推进社会主义建设，为实现中华民族伟大复兴奠定（    ）。","物质基础","根本政治前提","文化前提","制度基础","","BD","无","多选题"
"772","我们党对建设社会主义现代化国家在认识上不断深入、在战略上不断成熟、在实践上不断丰富，对此，下列表述正确的有（    ）。","社会主义革命和建设时期，我们党提出实现农业、工业、国防、科学技术现代化的目标","改革开放和社会主义现代化建设新时期，我们党提出""中国式的现代化""论断，制定了""三步走""战略","党的十九大提出全面建成社会主义现代化强国""两步走""战略安排","党的二十大提出：从2020年到2035年基本实现社会主义现代化；从2035年到本世纪中叶把我国建成富强民主文明和谐美丽的社会主义现代化强国","","ABCD","无","多选题"
"773","关于祖国统一的问题，毛泽东在1956年4月提出（    ）等政策主张。","""和为贵""","""九二共识""","""爱国一家""","""爱国不分先后""","","ACD","无","多选题"
"774","1963年，周恩来将我们党提出的一系列和平解决台湾问题的思想、政策和主张归纳为""一纲四目""。下列关于""四目""的表述正确的有（    ）。","台湾归回祖国后，除外交必须统一于中央外，所有军政大权人事安排等悉由台湾领导人全权处理","所有军政及建设费用，不足之数，悉数自行负责","台湾之社会改革，可以从缓，必俟条件成熟，并尊重台湾领导人意见协商决定，然后进行","双方互约不派人进行破坏对方团结之事","","ACD","无","多选题"
"775","毛泽东在《论十大关系》报告中指出，充分调动一切积极因素，尽可能地克服消极因素，并且努力化消极因素为积极因素，这是社会主义事业前进的需要。对毛泽东这里讲的积极因素与消极因素，理解正确的有（　　）。","我们的任务是创造条件，大力促使消极因素向积极因素转化","包括党内外、国内外以及直接和间接的因素","社会主义建设的积极因素与消极因素的相互转化不需要任何条件","尽力防止积极因素向消极因素的逆转","","ABD","无","多选题"
"776","1981年，党的十一届六中全会提出了（ ）的方针，允许市场调节存在和发挥作用，这为形成社会主义市场经济理论开辟了道路。","计划经济为主","市场调节为辅","商品经济为主","政府调节为辅","","AB","无","多选题"
"777","党的十五大对社会主义初级阶段特征的概括包括（ ）。","逐步摆脱不发达状态，基本实现社会主义现代化的历史阶段","由自然经济半自然经济占很大比重，逐步转变为经济市场化程度较高的历史阶段","由地区经济文化很不平衡，通过有先有后的发展，逐步缩小差距的历史阶段","逐步缩小同世界先进水平的差距，在社会主义基础上实现中华民族伟大复兴的历史阶段","","ABCD","无","多选题"
"778","1978年，党的十三大提出了党在社会主义初级阶段的基本路线，其中，实现奋斗目标的基本途径有（ ）。","以经济建设为中心","坚持四项基本原则","坚持改革开放","党的自我革命","","ABC","无","多选题"
"779","1978年，党的十三大提出了党在社会主义初级阶段的基本路线，其中，""坚持改革开放""回答了社会主义的（ ）问题。","发展动力","外部条件","根本任务","政治保障","","AB","无","多选题"
"780","1979年3月，邓小平在党的理论工作务虚会上发表讲话。他指出，必须在思想上政治上坚持（ ）这四项基本原则。","社会主义道路","无产阶级专政","共产党的领导","马列主义毛泽东思想","","ABCD","无","多选题"
"781","""一个中心、两个基本点""是党在社会主义初级阶段基本路线的简明概括。其中，""两个基本点""指的是（ ）。","坚持四项基本原则","坚持改革开放","坚持党的领导","坚持市场经济","","AB","无","多选题"
"782","邓小平关于社会主义本质的理论概括是对传统社会主义观的发展，这是因为它（ ）。","突出强调解放和发展生产力，纠正了过去忽视生产力发展的错误观念","突出强调消灭剥削，消除两极分化，最终达到共同富裕的发展目标","否定了长期以来持有的社会主义必须坚持公有制和按劳分配原则的传统观念","摆脱了长期以来拘泥于具体模式而忽略社会主义本质的错误倾向","","ABD","无","多选题"
"783","在1978年3月全国科学大会的开幕式上，邓小平谈到社会生产力的巨大发展及劳动生产率的提高，最主要的就是靠（ ）的力量。","科学","技术","教育","工业","","AB","无","多选题"
"784","党的十三大把邓小平提出的（ ）构想确定下来。","可持续发展战略","科教兴国战略","""小康社会""思想","""三步走""的发展战略","","CD","无","多选题"
"785","为了更好地实现""三步走""的现代化发展战略，邓小平提出了以重点带动全局的思想。1982年9月，他提出三个战略重点，分别是（ ）。","工业","能源和交通","教育和科学","农业","","BCD","无","多选题"
"786","关于中国农业的长远发展战略，邓小平提出了两个飞跃的思想，分别是（ ）。","废除人民公社，实行家庭联产承包为主的责任制","发展适度规模经营，发展集体经济","建立农村集体经营性建设用地制度","推动区域产业结构调整和经济发展方式转变","","AB","无","多选题"
"787","习近平新时代中国特色社会主义思想科学回答了（    ）等重大时代课题。","新时代坚持和发展什么样的中国特色社会主义，怎样坚持和发展中国特色社会主义","实现什么样的人类发展、怎样实现人类发展","建设什么样的社会主义现代化强国、怎样建设社会主义现代化强国","建设什么样的长期执政的马克思主义政党、怎样建设长期执政的马克思主义政党","","ACD","无","多选题"
"788","实践证明，改革开放（ ）。","是决定当代中国命运的关键一招","是实现中华民族伟大复兴的关键一招","是当代中国的鲜明标志和活力源泉","只有进行时，没有完成时，必须毫不动摇地坚持","","ABCD","无","多选题"
"789","坚持解放思想、实事求是为改革开放提供了（ ）的理论指导，开辟了马克思主义新境界。","体现时代性","把握规律性","富于创新性","调动积极性","","ABC","无","多选题"
"790","1992年，邓小平在南方谈话中明确指出：""计划多一点还是市场多一点，不是社会主义与资本主义的本质区别。计划经济不等于社会主义，资本主义也有计划；市场经济不等于资本主义，社会主义也有市场。计划和市场都是经济手段。""这一精辟论述（ ）。","从理论上突破了计划经济和市场经济是制度属性的观念","从根本上解除了把计划经济和市场经济看做属于社会基本制度范畴的思想束缚","标志着邓小平的社会主义市场经济理论的形成","标志着社会主义市场经济体制的确立","","ABC","无","多选题"
"791","邓小平的社会主义市场经济理论具有丰富的内涵，主要包括（ ）。","计划经济和市场经济不是划分社会制度的标志","计划和市场都是经济手段，对经济活动的调节各有优劣","市场经济会导致资源配置效率低下","市场经济可以和不同的社会制度结合，从而表现出不同的性质","","ABD","无","多选题"
"792","在推进经济体制改革的进程中，邓小平提出社会主义也可以搞市场经济的思想，创立了社会主义市场经济理论。邓小平的社会主义市场经济理论（ ）。","标志着关于社会主义本质和社会主义发展道路理论的统一与创新","是中国特色社会主义政治经济学的重要组成部分","为社会主义市场经济体制改革目标的确立和中国特色社会主义经济建设提供了指南","实现了马克思主义政治经济学的重大创新","","BCD","无","多选题"
"793","精神文明建设在""三位一体""的总体布局中的战略地位，决定了它必须是（ ）的精神文明建设。","推动社会主义现代化","促进全面改革和实行对外开放","坚持四项基本原则","全面建设小康社会","","ABC","无","多选题"
"794","邓小平主张，坚持在和平共处五项原则的基础上，建立（ ）的国际新秩序。","和平","稳定","公正","合理","","ABCD","无","多选题"
"795","邓小平理论形成了一个比较完备的科学体系。这一科学体系贯通（ ）等领域，涵盖经济、政治、科技、教育、文化、民族、军事、外交、统一战线、党的建设等方面，为我们坚持走自己的路，建设中国特色社会主义提供了根本遵循。","哲学","政治经济学","科学社会主义","生态文明","","ABC","无","多选题"
"796","香港、澳门相继回归祖国对于解决台湾问题的示范作用是（ ）。","表现中国共产党治国理政和处理国际关系的卓越能力","表明中国人民实现祖国统一的坚强意志和决心","标志着中国人民在完成祖国统一大业的道路上取得了重要进展","和平统一是实现两岸统一的唯一方式","","ABC","无","多选题"
"797","""文化大革命""结束后，邓小平以他的远见卓识、丰富经验、高超领导艺术，（ ）。","推动进行各方面的拨乱反正","支持和领导开展真理标准问题的讨论","旗帜鲜明反对""两个凡是""的错误观点","强调实事求是是毛泽东思想的精髓","","ABCD","无","多选题"
"798","坚持对外开放这一基本国策的依据有（ ）。","它是对中国停滞落后的历史教训深刻总结的结果","它是为了适应社会主义现代化建设的需要","它是为了借鉴和吸收人类文明的一切优秀成果","它是对当代世界经济、科技发展和国际形势敏锐观察的结果","","ABCD","无","多选题"
"799","邓小平提出，科学技术是第一生产力。关于科学技术的论述，以下说法正确的是（ ）。","发展生产力离不开科学技术","科学技术是社会发展的决定性力量和社会形态更替的根本标志","四个现代化，关键是科学技术的现代化","邓小平关于""科学技术是第一生产力""的重大论断，反映了科学技术在当代发展的新形势和对我国现代化建设的新要求","","ACD","无","多选题"
"800","社会主义核心价值体系鲜明地回答了在新的历史条件下，我们党（   ）的重大问题。","如何加强自身建设的问题","用什么样的精神旗帜团结带领全体人民开拓前进","中华民族以什么样的精神风貌屹立于世界民族之林","如何改善党内监督的问题","","BC","无","多选题"
"801","1992年，邓小平在南方谈话中指出：""改革开放迈不开步子，不敢闯，说来说去就是怕资本主义的东西多了，走了资本主义道路。要害是姓'资'还是姓'社'的问题。""因此，判断改革和各方面工作是非得失的标准有（ ）。","是否有利于发展社会主义社会的生产力","是否有利于增强社会主义国家的综合国力","是否有利于提高人民生活水平","是否有利于坚持和加强党的全面领导","","ABC","无","多选题"
"802","中国特色社会主义理论体系以全新的视野进一步深化和丰富了对（    ）的认识，是内涵丰富、思想深刻、系统完整的科学理论体系。","共产主义发展规律","共产党执政规律","社会主义建设规律","人类社会发展规律","","BCD","无","多选题"
"803","邓小平同志指出：""说市场经济只存在于资本主义社会，只有资本主义的市场经济，这肯定是不正确的。""""为什么一谈市场就说是资本主义，只有计划才是社会主义呢？计划和市场都是方法嘛。只要对发展生产力有好处，就可以利用。它为社会主义服务，就是社会主义的；为资本主义服务，就是资本主义的。""这表明（ ）。","市场经济是资源配置的一种方式","计划和市场都是经济手段","计划经济和市场经济是划分社会制度的标志","市场经济本身具有制度属性","","AB","无","多选题"
"804","中国特色社会主义理论体系是中国共产党长期探索的伟大理论创造，同（    ）一脉相承又与时俱进，是马克思主义中国化时代化的重大理论成果。","空想社会主义","科学社会主义","马克思列宁主义","毛泽东思想","","CD","无","多选题"
"805","党的十一届三中全会以来，我们党在对社会主义再认识的过程中，在哲学、政治经济学和科学社会主义等方面，发挥和发展了一系列科学理论观点。以下观点表述正确的是（    ）。","关于解放思想，实事求是，以实践作为检验真理的唯一标准的观点","关于在经济文化落后的条件下，建设社会主义必须有一个很长的初级阶段的观点","关于改革是社会主义社会发展的重要动力，对外开放是实现社会主义现代化的必要条件的观点","关于执政党的党风关系到党的生死存亡的观点","","ABCD","无","多选题"
